dataset_key,protocol,variant,label,model_key,model_label,family,n_rows,n_features,n_folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,fit_seconds,available,unavailable_reason,vs_baseline_fraction_improved,vs_baseline_wilcoxon_p,vs_baseline_n_folds
p2_after,P2,after,identity-subscale proxy items excluded,original_ann,Original ANN (unchanged),ann,1789,137,5,0.1858722892307401,0.029457974901403422,13.542770885046233,0.3022964836925822,10.732372700693642,0.057145272029577684,248.394420800003,True,,,,0
p2_after,P2,after,identity-subscale proxy items excluded,mean,Mean predictor,baseline,1789,137,25,-0.0039676205158767795,0.0053268479820444865,15.035292426694186,0.6780905083944359,12.005206539573154,0.5598488172904719,1.8930770000006305,True,,0.0,0.0625,5
p2_after,P2,after,identity-subscale proxy items excluded,ridge,Ridge (CV alpha),linear,1789,137,25,0.274429712062306,0.02973410246231405,12.77547312186616,0.5519498276373921,10.101673325000355,0.3969038178731876,3.5005158000058145,True,,1.0,0.0625,5
p2_after,P2,after,identity-subscale proxy items excluded,elastic_net,Elastic Net (CV alpha/l1_ratio),linear,1789,137,25,0.28093091530332476,0.029110920695333744,12.71940984938199,0.576106761092211,10.07939540404412,0.4317923161510783,14.256218700000318,True,,1.0,0.0625,5
p2_after,P2,after,identity-subscale proxy items excluded,random_forest,Random Forest,tree,1789,137,25,0.2692184697657667,0.030831417001447727,12.82104556942497,0.5560361001560034,10.196622321181854,0.3963034819270077,13.6366846000019,True,,1.0,0.0625,5
p2_after,P2,after,identity-subscale proxy items excluded,xgboost,XGBoost (tuned),boosted,1789,137,25,0.28339574714178506,0.031149272180888934,12.696399208744944,0.5664643563852872,10.052663682272094,0.4001241747523437,343.57071140000335,True,,1.0,0.0625,5
p2_after,P2,after,identity-subscale proxy items excluded,improved_ann,Improved ANN (1-seed ensemble),ann,1789,137,5,0.24199435961110818,0.0344919337598297,13.065973994884652,0.3274241345960119,10.280570581404902,0.3645684602345896,23.860026299997116,True,,1.0,0.0625,5
p2_after,P2,after,identity-subscale proxy items excluded,stacking,Stacking (ridge + RF + XGBoost),ensemble,1789,137,25,0.29359215407958844,0.030081294220776676,12.60504742848612,0.5405163044168027,9.98019268698333,0.36738984908149647,484.68125029999646,True,,1.0,0.0625,5
p2_after,P2,after,identity-subscale proxy items excluded,crowd,Wisdom of the crowd,crowd,1789,137,0,,,,,,,1202.1593896999984,False,timeout: timed out after 1200s,,,0
p2_before,P2,before,identity-subscale proxy items excluded,original_ann,Original ANN (unchanged),ann,1929,191,5,0.15325156264488943,0.06637806104939263,12.608709509603365,0.4248463775910474,9.764094736091028,0.20477935897507435,99.37232810000569,True,,,,0
p2_before,P2,before,identity-subscale proxy items excluded,mean,Mean predictor,baseline,1929,191,25,-0.00179984150891344,0.0024156796702566007,13.734834236674306,0.3899289290007045,11.0655351001122,0.3440416029763789,1.9697799999994459,True,,0.0,0.0625,5
p2_before,P2,before,identity-subscale proxy items excluded,ridge,Ridge (CV alpha),linear,1929,191,25,0.2665193661628559,0.04226188252899859,11.747455102715891,0.4722601197916879,9.171998212772904,0.3462787046563164,4.275147399996058,True,,1.0,0.0625,5
p2_before,P2,before,identity-subscale proxy items excluded,elastic_net,Elastic Net (CV alpha/l1_ratio),linear,1929,191,25,0.2758667310551955,0.043135090024210475,11.672228611801653,0.4820325390840253,9.11922327357633,0.3591332804702951,20.71134400000301,True,,1.0,0.0625,5
p2_before,P2,before,identity-subscale proxy items excluded,random_forest,Random Forest,tree,1929,191,25,0.24094542449353137,0.04621709538466868,11.949445378855641,0.4824074225038067,9.347232040090848,0.3766301339379007,26.31008909999946,True,,1.0,0.0625,5
p2_before,P2,before,identity-subscale proxy items excluded,xgboost,XGBoost (tuned),boosted,1929,191,25,0.2657537925075919,0.04578653844898184,11.752026689734283,0.47092453765496856,9.18725483676495,0.36432602248828677,369.4103810000015,True,,1.0,0.0625,5
