dataset_key,protocol,variant,label,model_key,model_label,family,n_rows,n_features,n_folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,fit_seconds,available,unavailable_reason,vs_baseline_fraction_improved,vs_baseline_wilcoxon_p,vs_baseline_n_folds
p1_after,P1,after,includes identity-subscale proxy items,original_ann,Original ANN (unchanged),ann,1789,144,5,0.2805301150665842,0.0272491044639549,12.729426238865605,0.2128090401665974,9.80745748312626,0.117286207851998,127.6618746000022,True,,,,0
p1_after,P1,after,includes identity-subscale proxy items,mean,Mean predictor,baseline,1789,144,25,-0.0039676205158767,0.0053268479820444,15.035292426694186,0.6780905083944359,12.005206539573154,0.5598488172904719,3.693242999997892,True,,0.0,0.0625,5
p1_after,P1,after,includes identity-subscale proxy items,ridge,Ridge (CV alpha),linear,1789,144,25,0.4005582818288026,0.0354836708239235,11.605708121963248,0.482219573842739,9.02527724688118,0.3038737303469908,29.412466799996764,True,,1.0,0.0625,5
p1_after,P1,after,includes identity-subscale proxy items,elastic_net,Elastic Net (CV alpha/l1_ratio),linear,1789,144,25,0.4038779618032433,0.0341287558381447,11.57452186007938,0.4882254762689487,8.996066483627198,0.3003236489990916,113.75750250000056,True,,1.0,0.0625,5
p1_after,P1,after,includes identity-subscale proxy items,random_forest,Random Forest,tree,1789,144,25,0.3997542645030589,0.0395614365612613,11.61308450609752,0.526433176201808,8.921815158532176,0.3234061922779641,28.76788250000027,True,,1.0,0.0625,5
p1_after,P1,after,includes identity-subscale proxy items,xgboost,XGBoost (tuned),boosted,1789,144,25,0.4003871978748377,0.0410802458190234,11.603714684423228,0.4760464014511633,8.899650916220418,0.2857603131291043,387.2728988000017,True,,1.0,0.0625,5
p1_after,P1,after,includes identity-subscale proxy items,lightgbm,LightGBM (tuned),boosted,1789,144,25,0.3853962977352785,0.0399631928159137,11.749717041153206,0.4919579719949535,8.996300748563602,0.2886526296964564,370.41968970000016,True,,1.0,0.0625,5
p1_after,P1,after,includes identity-subscale proxy items,improved_ann,Improved ANN (1-seed ensemble),ann,1789,144,5,0.3397370037394857,0.0379158612724694,12.194248224085005,0.4266017747448946,9.39111998495633,0.2204068718783006,42.26215510000111,True,,1.0,0.0625,5
p1_after,P1,after,includes identity-subscale proxy items,stacking,Stacking (ridge + RF + XGBoost),ensemble,1789,144,25,0.4165017566534875,0.0401847028523593,11.447417911366394,0.4925057255335009,8.784767120042284,0.2945264449606993,620.8747514999995,True,,1.0,0.0625,5
p1_after,P1,after,includes identity-subscale proxy items,crowd,Wisdom of the crowd,crowd,1789,144,0,,,,,,,1204.2453123999985,False,timeout: timed out after 1200s,,,0
