dataset_key,protocol,variant,label,model_key,model_label,family,n_rows,n_features,n_folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,fit_seconds,available,unavailable_reason,vs_baseline_fraction_improved,vs_baseline_wilcoxon_p,vs_baseline_n_folds
p3b_before_to_after,P3b,before_to_after,"before -> after, + before EI (persistence baseline)",original_ann,Original ANN (unchanged),ann,1012,192,5,0.1355481155399144,0.06525012755329364,13.162344625739717,0.7387792378657082,10.163860778104596,0.5853787205527888,162.94771680000122,True,,,,0
p3b_before_to_after,P3b,before_to_after,"before -> after, + before EI (persistence baseline)",mean,Mean predictor,baseline,1012,192,25,-0.00809474459905803,0.009749490730565972,14.198473229776791,0.40222936560118694,11.307564331873493,0.34860196422540074,3.13408519999939,True,,0.0,0.0625,5
p3b_before_to_after,P3b,before_to_after,"before -> after, + before EI (persistence baseline)",ridge,Ridge (CV alpha),linear,1012,192,25,0.2219454881949864,0.04729440588387397,12.470023105462376,0.5601934608292427,9.661411920036757,0.4588039785171344,5.359215699998458,True,,1.0,0.0625,5
p3b_before_to_after,P3b,before_to_after,"before -> after, + before EI (persistence baseline)",elastic_net,Elastic Net (CV alpha/l1_ratio),linear,1012,192,25,0.2881786655933723,0.04897062183311519,11.927335390150532,0.5988417075140438,9.173083466472384,0.45555977055348934,37.90060319999975,True,,1.0,0.0625,5
p3b_before_to_after,P3b,before_to_after,"before -> after, + before EI (persistence baseline)",random_forest,Random Forest,tree,1012,192,25,0.2809560487314336,0.05748084859039404,11.981873034798577,0.5892943553595729,9.280956928799718,0.4294662437306554,21.417603199999576,True,,1.0,0.0625,5
